Title,Year,imdbID,tmdbID
Now You See Me: Now You Don't,2025,tt4712810,425274
Apollo 11,2019,tt8760684,549559
Law Abiding Citizen,2009,tt1197624,22803
Sinners,2025,tt31193180,1233413
Frankenstein,2025,tt1312221,1062722
Star Wars,1977,tt0076759,11
Nikita,1990,tt0100263,9322
Collateral,2004,tt0369339,1538
Vikram,2022,tt9179430,743563
Zootopia,2016,tt2948356,269149
Michael Clayton,2007,tt0465538,4566
Alien Resurrection,1997,tt0118583,8078
Accepted,2006,tt0384793,9788
Alien³,1992,tt0103644,8077
Star Wars: Episode I - The Phantom Menace,1999,tt0120915,1893
Den of Thieves,2018,tt1259528,449443
Attack on Titan II: End of the World,2015,tt4294052,340382
Attack on Titan,2015,tt2072230,295830
Por Thozhil,2023,tt27542289,1115239
The Plot,2024,tt26591189,865910
Ransom,1996,tt0117438,3595
The Counselor,2013,tt2193215,109091
Ultraviolet,2006,tt0370032,9920
Taandob,2025,tt36293840,1396122
RoboCop,2014,tt1234721,97020
Death Race 2,2010,tt1500491,51620
Death Race,2008,tt0452608,10483
Punisher: War Zone,2008,tt0450314,13056
Cellular,2004,tt0337921,9759
The Punisher,2004,tt0330793,7220
Redemption,2013,tt2201886,158394
Transcendence,2014,tt2209764,157353
Aliens,1986,tt0090605,679
57 Seconds,2023,tt18083578,937249
Flight,2012,tt1907668,87502
Bullet,2014,tt2544734,169298
Ninja Assassin,2009,tt1186367,22832
Solo: A Star Wars Story,2018,tt3778644,348350
Rogue One: A Star Wars Story,2016,tt3748528,330459
Alien: Covenant,2017,tt2316204,126889
Prometheus,2012,tt1446714,70981
Inheritance,2020,tt7923220,602147
Nobody 2,2025,tt28996126,1007734
American Ultra,2015,tt3316948,261392
F1,2025,tt16311594,911430
Foxter and Max,2019,tt8269856,611014
Mission: Impossible - The Final Reckoning,2025,tt9603208,575265
War,2007,tt0499556,10431
Superman,2025,tt5950044,1061474
Bullet to the Head,2012,tt1308729,70074
The Villainess,2017,tt6777338,437109
The Killer,2023,tt1136617,800158
HIT: The Third Case,2025,tt23804696,1060046
HIT: The 2nd Case,2022,tt14279982,811945
HIT: The First Case,2020,tt11490170,678391
I Saw the Devil,2010,tt1588170,49797
G.I. Joe: Retaliation,2013,tt1583421,72559
G.I. Joe: The Rise of Cobra,2009,tt1046173,14869
The Old Guard 2,2025,tt14961624,846422
Paddington 2,2017,tt4468740,346648
The King's Man,2021,tt6856242,476669
Mickey 17,2025,tt12299608,696506
The Accountant²,2025,tt7068946,870028
Selena Gomez: My Mind & Me,2022,tt21819250,1022256
Thunderbolts*,2025,tt20969586,986056
Final Destination 2,2003,tt0309593,9358
Ballerina,2025,tt7181546,541671
The Amateur,2025,tt0899043,1087891
Indiana Jones and the Kingdom of the Crystal Skull,2008,tt0367882,217
Indiana Jones and the Last Crusade,1989,tt0097576,89
Indiana Jones and the Temple of Doom,1984,tt0087469,87
Hot Fuzz,2007,tt0425112,4638
Children of Men,2006,tt0206634,9693
Total Recall,2012,tt1386703,64635
Run Lola Run,1998,tt0130827,104
Total Recall,1990,tt0100802,861
The Game,1997,tt0119174,2649
Chaos,2005,tt0402910,5289
The Devil's Advocate,1997,tt0118971,1813
Brainscan,1994,tt0109327,14237
Annihilation,2018,tt2798920,300668
Oblivion,2013,tt1483013,75612
Predestination,2014,tt2397535,206487
Split,2017,tt4972582,381288
The Truman Show,1998,tt0120382,37165
Identity,2003,tt0309698,2832
"I, Robot",2004,tt0343818,2048
Black Swan,2010,tt0947798,44214
The Machinist,2004,tt0361862,4553
Sherlock Holmes: A Game of Shadows,2011,tt1515091,58574
Sherlock Holmes,2009,tt0988045,10528
Tom Clancy's Without Remorse,2021,tt0499097,567189
The Illusionist,2006,tt0443543,1491
The Magnificent Seven,2016,tt2404435,333484
The Contractor,2022,tt10323676,628900
A Working Man,2025,tt9150192,1197306
Captain America: Brave New World,2025,tt14513804,822119
Run All Night,2015,tt2199571,241554
The Count of Monte Cristo,2024,tt26446278,1084736
A Beautiful Mind,2001,tt0268978,453
Rekhachithram,2025,tt32284154,1290954
La La Land,2016,tt3783958,313369
The Shining,1980,tt0081505,694
Shohorer Bou,2005,,1437639
The Double,2011,tt1646980,73499
Companion,2025,tt26584495,1084199
The Replacement Killers,1998,tt0120008,11702
The Pianist,2002,tt0253474,423
Marco,2024,tt29383379,1186350
Mikhael,2019,tt8694228,573257
Scarface,1983,tt0086250,111
Get Out,2017,tt5052448,419430
Mystic River,2003,tt0327056,322
A History of Violence,2005,tt0399146,59
Raiders of the Lost Ark,1981,tt0082971,85
Dead Man Down,2013,tt2101341,102362
Killer Joe,2012,tt1726669,73567
No Country for Old Men,2007,tt0477348,6977
GoodFellas,1990,tt0099685,769
Edward Scissorhands,1990,tt0099487,162
Panic Room,2002,tt0258000,4547
The Sixth Sense,1999,tt0167404,745
The Imitation Game,2014,tt2084970,205596
Psycho III,1986,tt0091799,12662
Psycho II,1983,tt0086154,10576
Psycho,1960,tt0054215,539
